vOTU_ID	Donor01	Donor09	Donor02	Donor03	Donor13	Donor24	Donor27	Donor34	DonorNo_Ref_11	Donor17	Donor16	Donor06	Donor18	Donor20	Donor23	Donor25	Donor12	Donor22	Donor28	Donor08	Donor14	n_shared_donor
vOTU_0827	nD	nD	nD	nD	nD	0.0012 +/-7e-04	nD	nD	nD	0.1856 +/-0.2399	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0828	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0267 +/-0.0201	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0829	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0677 +/-0.0685	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0830	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.048 +/-0.0528	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0831	nD	nD	nD	nD	nD	nD	nD	nD	nD	3.4196 +/-4.6281	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0832	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0327 +/-0.0353	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0833	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.4558 +/-0.2895	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0834	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1169 +/-0.1377	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0835	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0485 +/-0.045	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0103 +/-0	nD	2
vOTU_0836	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0725 +/-0.1225	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0837	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0381 +/-0.0193	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0838	nD	nD	nD	nD	nD	nD	nD	nD	0.0021 +/-0	0.1618 +/-0.1539	nD	nD	9e-04 +/-0	nD	nD	nD	nD	nD	0.027 +/-0.0274	nD	nD	4
vOTU_0839	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0111 +/-0.0054	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0840	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0134 +/-0.01	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0841	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1123 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.025 +/-0.0205	nD	2
vOTU_0842	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0123 +/-0.0099	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0843	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0129 +/-0.0162	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0844	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.4405 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0845	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0169 +/-0.0232	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0846	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0438 +/-0.0441	nD	0.3004 +/-0.5679	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0847	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0302 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0848	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0402 +/-0.0505	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0849	0.0169 +/-0.0125	nD	nD	nD	nD	nD	nD	nD	nD	0.0088 +/-0.0057	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0850	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0141 +/-0.0128	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0851	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.024 +/-0.0146	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0852	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0169 +/-0.0069	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0853	0.0308 +/-0	nD	0.0504 +/-0.0314	nD	nD	nD	nD	nD	nD	0.0665 +/-0.1151	nD	nD	nD	nD	nD	0.0379 +/-0.0496	nD	nD	nD	nD	nD	4
vOTU_0854	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0091 +/-0.006	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0855	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0213 +/-0.0146	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0856	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.011 +/-0.0076	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0857	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0251 +/-0.0193	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0858	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.033 +/-0.0241	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0859	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0479 +/-0.0372	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0860	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0323 +/-0.0302	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0861	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1691 +/-0.1028	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0862	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0227 +/-0.0294	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0863	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0069 +/-0.002	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0864	nD	nD	nD	0.0334 +/-0.0488	nD	nD	nD	0.0089 +/-0	nD	0.0149 +/-0.0178	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0865	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0069 +/-0.0021	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0866	nD	nD	nD	nD	0.0059 +/-0	nD	nD	nD	nD	0.016 +/-0.0115	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0867	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0206 +/-0.0154	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0868	nD	nD	nD	nD	0.004 +/-0	nD	nD	nD	0.0298 +/-0.0269	0.0147 +/-0.0171	nD	nD	0.0011 +/-0	0.0141 +/-0.0088	nD	nD	nD	nD	nD	nD	nD	5
vOTU_0869	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0164 +/-0.0204	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0870	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0194 +/-0.0166	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0871	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0136 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0872	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0142 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0873	nD	nD	nD	nD	nD	nD	nD	nD	0.0024 +/-0	0.0089 +/-0.0121	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0874	nD	nD	nD	nD	nD	nD	nD	nD	nD	2.3579 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0875	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0046 +/-0.0018	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0876	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.013 +/-4e-04	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0877	nD	0.0216 +/-0	nD	nD	nD	nD	nD	nD	nD	0.0104 +/-0.0108	nD	0.0138 +/-0	nD	nD	nD	nD	nD	nD	0.0012 +/-0	nD	nD	4
vOTU_0878	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0145 +/-0.0183	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0879	nD	nD	nD	nD	nD	0.0017 +/-9e-04	0.0096 +/-0.0067	0.0059 +/-0.0026	nD	0.0082 +/-0.0024	nD	0.005 +/-6e-04	nD	nD	nD	nD	nD	nD	nD	nD	nD	5
vOTU_0880	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0087 +/-0.0043	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0881	nD	nD	nD	0.0206 +/-0.029	nD	nD	nD	0.0077 +/-0	nD	0.0159 +/-0.0195	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0882	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1793 +/-0.2072	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0883	nD	nD	nD	0.0285 +/-0.0422	nD	nD	nD	0.0056 +/-0	nD	0.0151 +/-0.0194	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0884	nD	nD	nD	0.0238 +/-0.0341	nD	nD	nD	0.0063 +/-0	nD	0.0132 +/-0.0154	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0885	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0127 +/-0.0098	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0886	0.0041 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	0.0188 +/-0.0039	nD	0.0195 +/-0.0209	nD	nD	nD	0.0032 +/-0	nD	nD	nD	nD	0.0023 +/-0.0013	5
vOTU_0887	nD	nD	nD	0.0544 +/-0.0681	nD	nD	nD	0.0165 +/-0	nD	0.0167 +/-0.0198	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0888	nD	nD	nD	nD	nD	nD	nD	nD	nD	1.419 +/-2.7172	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0889	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0331 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0890	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.3116 +/-0.1135	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0891	nD	0.0068 +/-0	nD	nD	nD	nD	nD	nD	nD	0.0078 +/-0.0032	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0892	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0255 +/-0.0255	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0893	nD	nD	0.0544 +/-0.0411	nD	nD	nD	0.0035 +/-5e-04	nD	nD	0.0111 +/-0.0026	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0894	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0148 +/-0.0056	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0895	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0079 +/-0.0054	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0896	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0142 +/-0.0161	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0897	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0061 +/-0.0045	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0035 +/-0.0029	2
vOTU_0898	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0088 +/-0.0033	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0899	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0063 +/-0.0019	nD	0.0205 +/-0.01	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0900	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0292 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0901	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0495 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0902	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0054 +/-0.0018	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0903	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0364 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0904	nD	nD	0.0068 +/-0	nD	nD	nD	0.0066 +/-0.0026	nD	0.0809 +/-0.1196	0.009 +/-0.005	nD	nD	0.0025 +/-0.0015	nD	nD	0.013 +/-0	nD	nD	0.0019 +/-0	nD	0.003 +/-0	8
vOTU_0905	0.0499 +/-0	0.0056 +/-1e-04	0.0511 +/-0.0699	nD	nD	nD	0.0024 +/-1e-04	0.0053 +/-7e-04	0.0572 +/-0.075	0.0085 +/-0.0055	nD	nD	0.0017 +/-8e-04	0.0093 +/-0.0051	0.0015 +/-2e-04	0.0032 +/-0	nD	nD	nD	0.0101 +/-0.0099	nD	12
vOTU_0906	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0178 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0907	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.42 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0908	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0109 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0909	nD	nD	nD	nD	nD	nD	nD	nD	0.02 +/-0	0.0091 +/-0.0097	nD	nD	nD	0.015 +/-0	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0910	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0559 +/-0.0953	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0911	0.0933 +/-0	nD	0.0299 +/-0.0176	nD	nD	0.0017 +/-7e-04	0.0111 +/-0.0073	nD	0.0053 +/-0	0.0081 +/-0.0064	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0078 +/-0.0051	nD	7
vOTU_0912	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0113 +/-0.0074	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0913	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0269 +/-0.0151	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0914	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0457 +/-0.0761	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0915	nD	nD	0.0094 +/-0	nD	nD	nD	nD	0.0124 +/-0	nD	0.0111 +/-0.0149	nD	nD	0.0059 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	4
vOTU_0916	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.286 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0917	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.3361 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0918	nD	nD	1.892 +/-2.6962	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0817 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0919	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.5648 +/-0.4269	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0920	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0153 +/-0.009	nD	0.0058 +/-0.0055	nD	0.0011 +/-0	nD	nD	0.0202 +/-0.0241	nD	4
vOTU_0921	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0937 +/-0.0644	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0922	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.04 +/-0.05	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0923	nD	nD	nD	nD	0.0355 +/-0.0049	nD	nD	nD	nD	nD	nD	nD	0.0505 +/-0.0699	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0924	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0379 +/-0.051	0.0404 +/-0.0401	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0925	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0074 +/-0.006	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0926	nD	nD	0.2173 +/-0.1623	0.0602 +/-0	nD	nD	nD	0.5788 +/-0.5636	nD	nD	nD	nD	14.1791 +/-22.8795	nD	nD	nD	nD	nD	nD	nD	nD	4
vOTU_0927	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0164 +/-0.0095	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0928	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0643 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0929	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.304 +/-0.5287	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0930	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.03 +/-0.0092	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0931	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0027 +/-0.001	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0932	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0212 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0933	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0195 +/-0.008	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0934	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0032 +/-0.0017	nD	nD	nD	0.0018 +/-0	nD	nD	nD	nD	2
vOTU_0935	nD	nD	nD	nD	nD	nD	nD	nD	0.0771 +/-0.0257	0.0228 +/-0.0061	nD	nD	0.0024 +/-0.0013	nD	nD	nD	nD	nD	nD	nD	0.0304 +/-0	4
vOTU_0936	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0065 +/-0.0068	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0937	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.2631 +/-0.4692	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0938	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0044 +/-0.003	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0939	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0092 +/-0.001	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0940	nD	nD	nD	nD	nD	nD	0.0062 +/-0.0038	0.0058 +/-0	0.0797 +/-0.1163	0.008 +/-0.0051	nD	0.0054 +/-0.001	0.0034 +/-0.002	nD	nD	0.006 +/-0.0069	nD	nD	nD	nD	0.003 +/-0	8
vOTU_0941	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0052 +/-0.0052	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0942	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0041 +/-0.0027	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0943	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.2115 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0944	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0101 +/-0.0089	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0945	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0031 +/-0	nD	nD	0.033 +/-0.0249	nD	nD	0.1047 +/-0.0887	0.0014 +/-0	nD	nD	nD	nD	4
vOTU_0946	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0025 +/-0.0011	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0947	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.132 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0948	0.005 +/-0	nD	0.0073 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	0.0357 +/-0	0.027 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	4
vOTU_0949	0.0554 +/-0.046	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0085 +/-0.0098	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0950	nD	nD	nD	nD	nD	nD	0.016 +/-0	nD	nD	nD	nD	nD	0.0075 +/-0.0027	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0951	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0073 +/-0.0018	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0952	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0048 +/-0.0031	nD	nD	0.0558 +/-0.0529	nD	nD	nD	nD	nD	2
vOTU_0953	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.008 +/-0.0063	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0954	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.2685 +/-0.1233	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0955	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0054 +/-0.0013	0.0046 +/-0.0025	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0956	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0033 +/-0.0036	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0957	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0839 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0958	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	9.2756 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0959	0.0562 +/-0.0689	0.0277 +/-0.0135	0.2044 +/-0.2527	0.0107 +/-0.0152	nD	0.0102 +/-0.0077	0.0477 +/-0.0249	0.0643 +/-0.0803	0.2525 +/-0.2456	0.0849 +/-0.0566	0.0705 +/-0.0645	0.0099 +/-0.0074	0.0024 +/-0.0011	0.019 +/-0.0144	0.0013 +/-7e-04	0.0122 +/-0.0204	0.009 +/-0.0053	0.1575 +/-0.266	0.0362 +/-0.0399	0.0087 +/-0.0078	0.0037 +/-0	20
vOTU_0960	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.003 +/-0.002	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0961	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0062 +/-0.0015	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0962	nD	nD	nD	nD	nD	nD	nD	nD	0.0177 +/-0	0.0529 +/-0.0408	nD	nD	0.015 +/-0	nD	nD	nD	nD	0.0714 +/-0.1017	nD	nD	nD	4
vOTU_0963	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0423 +/-0.0203	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0964	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	5.6729 +/-3.8243	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0965	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1202 +/-0.0584	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0966	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0822 +/-0.1409	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0967	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1.0313 +/-1.4213	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0968	nD	nD	nD	nD	nD	nD	nD	0.354 +/-0.1405	nD	nD	nD	nD	nD	3.5241 +/-2.8424	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0969	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	21.6441 +/-22.6394	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0970	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.2066 +/-0	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0971	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.164 +/-0.1832	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0973	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1132 +/-0.1235	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0974	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0329 +/-0.0402	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0975	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1.3706 +/-1.1985	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0976	nD	nD	nD	nD	nD	nD	nD	0.0154 +/-0	nD	nD	nD	nD	nD	0.0961 +/-0.1291	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0977	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0076 +/-0.0036	nD	nD	nD	nD	0.0052 +/-0	nD	nD	2
vOTU_0978	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0072 +/-0.0024	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0979	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0476 +/-0	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0981	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0663 +/-0.0119	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0982	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0723 +/-0.0303	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0983	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1866 +/-0.1128	nD	nD	nD	nD	nD	nD	nD	1
