vOTU_ID	Donor01	Donor09	Donor02	Donor03	Donor13	Donor24	Donor27	Donor34	DonorNo_Ref_11	Donor17	Donor16	Donor06	Donor18	Donor20	Donor23	Donor25	Donor12	Donor22	Donor28	Donor08	Donor14	n_shared_donor
vOTU_0023	0.0321 +/-0	nD	nD	nD	0.0057 +/-0.0023	nD	nD	nD	nD	nD	0.1562 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0024	0.0156 +/-0.0109	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.0432 +/-0	0.0029 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0025	0.0172 +/-0.0037	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0026	0.0186 +/-0.0188	nD	nD	0.0391 +/-0.0527	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0027	0.0292 +/-0.0373	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0028	0.0145 +/-0.0053	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0029	0.0255 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1462 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0030	0.0779 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0031	0.0088 +/-0.0058	nD	nD	nD	nD	nD	nD	nD	0.0207 +/-0.0075	0.0088 +/-0.0053	nD	0.0085 +/-0.0034	nD	nD	nD	nD	nD	nD	nD	nD	nD	4
vOTU_0032	0.0145 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0033	9.5405 +/-14.284	0.1861 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0034	0.0183 +/-0.0039	0.0297 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0035	0.0289 +/-0.0359	0.0058 +/-0.0015	0.0587 +/-0.071	nD	nD	nD	nD	0.0035 +/-0.0028	nD	0.0124 +/-0.0092	0.0101 +/-0	nD	nD	0.0108 +/-0.0057	0.0019 +/-9e-04	0.006 +/-0	nD	nD	nD	nD	nD	9
vOTU_0036	0.0166 +/-0.0097	nD	0.0159 +/-0	nD	nD	nD	0.0257 +/-0.0069	0.0241 +/-0.0167	nD	0.0093 +/-0.0049	0.0563 +/-0.0515	nD	nD	nD	nD	0.4888 +/-0.6545	nD	nD	nD	nD	nD	7
vOTU_0037	0.0105 +/-0.0072	nD	nD	nD	nD	nD	0.0074 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0038	0.0663 +/-0	0.0414 +/-0	nD	nD	0.14 +/-0.176	nD	nD	nD	nD	0.1596 +/-0.1936	nD	nD	0.0208 +/-0.0158	nD	nD	nD	0.0073 +/-0.0043	0.0838 +/-0.0554	nD	nD	nD	7
vOTU_0039	0.0229 +/-0.016	nD	0.0153 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0040	0.0186 +/-0.019	nD	0.0091 +/-0	0.0041 +/-0	nD	nD	0.0059 +/-0.0042	0.0071 +/-0.0078	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	5
vOTU_0041	0.02 +/-0.0098	nD	nD	nD	nD	nD	nD	nD	0.0063 +/-0	nD	nD	0.0096 +/-0.0037	nD	nD	nD	nD	nD	nD	nD	nD	nD	3
vOTU_0042	0.0334 +/-0.0366	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0043	0.0347 +/-0.0211	nD	nD	nD	nD	nD	nD	0.0275 +/-0	0.1149 +/-0	0.0184 +/-0	0.0065 +/-0	nD	nD	nD	nD	nD	nD	0.0216 +/-0.0228	0.0031 +/-0	nD	nD	7
vOTU_0044	0.0361 +/-0.0233	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0045	nD	nD	0.0743 +/-0.0643	nD	nD	nD	0.1798 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0046	nD	nD	1.5422 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0047	nD	nD	6.1526 +/-8.2013	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.1845 +/-0	nD	nD	nD	nD	nD	2
vOTU_0048	nD	nD	0.11 +/-0.1143	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0049	0.0047 +/-0	nD	0.6577 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0050	nD	nD	5.6237 +/-7.6235	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0051	nD	nD	0.0337 +/-0.0318	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0052	nD	nD	0.1016 +/-0.1208	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0053	nD	nD	0.0346 +/-0.0166	nD	nD	nD	nD	nD	nD	0.0055 +/-0	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	2
vOTU_0054	nD	nD	1.2011 +/-1.3205	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
vOTU_0055	nD	nD	0.0433 +/-0.0555	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	0.01 +/-0	nD	nD	2
vOTU_0056	nD	nD	0.6153 +/-0.4217	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	nD	1
